Year,Month,Day,Hour,Temperature,Humidity,PRECTOTCORR
2022,11,1,7,19.08,79.75,0
2022,11,1,8,21.46,71.12,0
2022,11,1,9,23.37,61.75,0
2022,11,1,10,24.33,58.25,0
2022,11,1,11,24.94,57.06,0
2022,11,1,12,25.4,56.69,0
2022,11,1,13,25.65,56.69,0
2022,11,1,14,25.65,57.56,0
2022,11,1,15,25.29,60.38,0
2022,11,1,16,24.15,67.25,0
2022,11,1,17,21.54,78.25,0
2022,11,1,18,20.79,72.81,0
2022,11,1,19,20.32,72.56,0
2022,11,1,20,19.73,73.81,0
2022,11,1,21,19.15,75.12,0
2022,11,1,22,18.63,76.31,0
2022,11,1,23,18.01,78.5,0
2022,11,2,0,17.29,81.25,0
2022,11,2,1,16.6,83.69,0
2022,11,2,2,15.93,86,0
2022,11,2,3,15.25,88.5,0
2022,11,2,4,14.68,90.31,0
2022,11,2,5,14.2,91.88,0
2022,11,2,6,14.25,92.44,0
2022,11,2,7,16.89,83.94,0
2022,11,2,8,19.13,76.75,0
2022,11,2,9,21.7,69.25,0
2022,11,2,10,23.91,60.88,0
2022,11,2,11,25.29,56.44,0
2022,11,2,12,26.04,54.5,0
2022,11,2,13,26.39,53.69,0
2022,11,2,14,26.45,53.88,0
2022,11,2,15,26.3,55.25,0
2022,11,2,16,25.67,56,0
2022,11,2,17,23.37,63.38,0
2022,11,2,18,22.34,61.38,0
2022,11,2,19,21.16,65.56,0
2022,11,2,20,19.93,70.38,0
2022,11,2,21,18.98,73.44,0
2022,11,2,22,18.36,74.75,0
2022,11,2,23,17.9,75.31,0
2022,11,3,0,17.48,75.88,0
2022,11,3,1,16.78,78.62,0
2022,11,3,2,16.01,81.56,0
2022,11,3,3,15.14,85,0
2022,11,3,4,14.41,87.81,0
2022,11,3,5,13.88,89.62,0
2022,11,3,6,13.89,90.81,0
2022,11,3,7,16.77,82.56,0
2022,11,3,8,19.05,74.88,0
2022,11,3,9,21.57,68.56,0
2022,11,3,10,23.84,62,0
2022,11,3,11,25.51,56.94,0
2022,11,3,12,26.41,54.5,0
2022,11,3,13,26.7,54.06,0
2022,11,3,14,26.58,55.31,0
2022,11,3,15,26.28,57.69,0
2022,11,3,16,25.54,60.56,0
2022,11,3,17,23.97,62.38,0
2022,11,3,18,23.89,56.06,0
2022,11,3,19,23.05,59.06,0
2022,11,3,20,21.76,64.31,0
2022,11,3,21,20.66,69.06,0
2022,11,3,22,19.91,71.75,0
2022,11,3,23,19.3,73.69,0
2022,11,4,0,18.67,76,0
2022,11,4,1,17.99,79.06,0
2022,11,4,2,17.32,82.38,0
2022,11,4,3,16.67,85.62,0
2022,11,4,4,16.17,88.06,0
2022,11,4,5,15.85,89.69,0
2022,11,4,6,15.96,90.31,0
2022,11,4,7,17.95,82.81,0
2022,11,4,8,19.6,78.44,0
2022,11,4,9,21.98,73.81,0
2022,11,4,10,24.03,67.44,0
2022,11,4,11,25.36,62.62,0
2022,11,4,12,26.19,59.81,0
2022,11,4,13,26.61,58.38,0
2022,11,4,14,26.65,58.06,0
2022,11,4,15,26.37,59.81,0
2022,11,4,16,25.51,63.44,0
2022,11,4,17,23.58,68.62,0
2022,11,4,18,23.65,60.75,0
2022,11,4,19,23.37,60.44,0
2022,11,4,20,22.56,63.69,0
2022,11,4,21,21.87,66.69,0
2022,11,4,22,21.42,68.12,0
2022,11,4,23,20.43,73.19,0
2022,11,5,0,20.06,75.62,0
2022,11,5,1,18.89,83.25,0
2022,11,5,2,17.8,91.25,0
2022,11,5,3,17.02,97,0
2022,11,5,4,16.51,100,0
2022,11,5,5,16.23,100,0
2022,11,5,6,16.44,100,0
2022,11,5,7,18.73,91.44,0
2022,11,5,8,20.48,80.5,0
2022,11,5,9,22.04,71.62,0
2022,11,5,10,23.32,67,0
2022,11,5,11,24.22,64.44,0
2022,11,5,12,24.79,62.94,0
2022,11,5,13,25.05,62.12,0
2022,11,5,14,24.92,62.44,0
2022,11,5,15,24.4,64.56,0
2022,11,5,16,23.48,70.31,0
2022,11,5,17,21.15,81.06,0
2022,11,5,18,20.14,79.44,0
2022,11,5,19,19.69,78.94,0
2022,11,5,20,19.37,78.06,0
2022,11,5,21,19.01,77.94,0
2022,11,5,22,18.55,79.06,0
2022,11,5,23,18.16,80.31,0
2022,11,6,0,17.83,81.69,0
2022,11,6,1,17.73,82.06,0
2022,11,6,2,17.33,83.88,0
2022,11,6,3,16.59,87.62,0
2022,11,6,4,15.92,91.19,0
2022,11,6,5,15.35,94.5,0
2022,11,6,6,15.22,96.06,0
2022,11,6,7,17.47,89.06,0
2022,11,6,8,19.72,82.44,0
2022,11,6,9,22.32,75.25,0
2022,11,6,10,23.89,70,0
2022,11,6,11,24.8,66.94,0
2022,11,6,12,25.37,65.12,0
2022,11,6,13,25.67,64,0
2022,11,6,14,25.62,63.88,0
2022,11,6,15,25.2,65.56,0
2022,11,6,16,24.5,70.25,0
2022,11,6,17,22.87,76.94,0
2022,11,6,18,21.92,76.25,0
2022,11,6,19,20.98,80.19,0
2022,11,6,20,19.95,84.75,0
2022,11,6,21,19.15,88.56,0
2022,11,6,22,18.58,91.12,0
2022,11,6,23,18.14,93.69,0
2022,11,7,0,17.89,95.06,0
2022,11,7,1,17.94,94.25,0
