Year,Month,Day,Temperature,Humidity
2021,12,1,14.83,67.25
2021,12,2,13.58,70.5
2021,12,3,14.93,66.88
2021,12,4,15.58,67
2021,12,5,15.62,68.56
2021,12,6,16.19,66.75
2021,12,7,15.49,68.62
2021,12,8,16.68,73.38
2021,12,9,17.7,87.12
2021,12,10,18.45,88.75
2021,12,11,19.16,88.5
2021,12,12,17.97,84.44
2021,12,13,15.8,75
2021,12,14,16.01,83.75
2021,12,15,17.8,88.62
2021,12,16,19.98,83.56
2021,12,17,17.69,79.38
2021,12,18,14.11,72.81
2021,12,19,13.92,71.19
2021,12,20,15.88,76.5
2021,12,21,15.74,81.75
2021,12,22,16.68,80.62
2021,12,23,17.39,84.75
2021,12,24,18.62,88.69
2021,12,25,18.57,88.62
2021,12,26,13.85,81.31
2021,12,27,9.65,77.94
2021,12,28,11.01,82.25
2021,12,29,13.17,87.88
2021,12,30,14.03,80.75
2021,12,31,14.79,82.69
2022,1,1,15.81,86.12
2022,1,2,15.56,85.25
2022,1,3,16.5,89.06
2022,1,4,18.11,87.06
2022,1,5,19.02,88.12
2022,1,6,19.58,89.44
2022,1,7,18.19,89.06
2022,1,8,18.12,89.94
2022,1,9,14.2,86.69
2022,1,10,16.05,87.31
2022,1,11,14.81,72.12
2022,1,12,15.17,82.25
2022,1,13,15.17,86.81
2022,1,14,16.28,87.5
2022,1,15,18.91,90.31
2022,1,16,19.91,88.25
2022,1,17,13.37,87.5
2022,1,18,15.25,75.94
2022,1,19,14.36,83.25
2022,1,20,16.39,85.94
2022,1,21,17.8,92.5
2022,1,22,20.23,89.94
2022,1,23,21.26,85.75
2022,1,24,21.16,84.88
2022,1,25,19.35,89.81
2022,1,26,20.03,88.44
2022,1,27,21.52,88.25
2022,1,28,21.38,87.5
2022,1,29,15.33,86.44
2022,1,30,11.68,77.69
2022,1,31,10.8,86.44
2022,2,1,11.8,82.19
2022,2,2,11.27,87.62
2022,2,3,11.52,79.25
2022,2,4,12.35,80.88
2022,2,5,12.94,82.38
2022,2,6,15.07,92.5
2022,2,7,19.16,87.81
2022,2,8,17.55,87.88
2022,2,9,13.57,86.5
2022,2,10,15.9,90.25
2022,2,11,18.84,90.19
2022,2,12,18.8,91.62
2022,2,13,14.61,86.94
2022,2,14,14.08,79
2022,2,15,15.89,86.5
2022,2,16,18.3,90.62
2022,2,17,21.48,89.19
2022,2,18,23.58,88.62
2022,2,19,11.77,85.75
2022,2,20,7.25,85.75
2022,2,21,8.65,81.81
2022,2,22,10.43,78.56
2022,2,23,11.1,76.25
2022,2,24,11.84,73.38
2022,2,25,13.3,81.56
2022,2,26,15.52,83.81
2022,2,27,16.55,85.5
2022,2,28,18.34,88.31
2022,3,1,20.14,88.44
2022,3,2,20.61,85.81
2022,3,3,21.23,86.62
2022,3,4,21.8,88.94
2022,3,5,22.09,89
2022,3,6,23.24,89.31
2022,3,7,20.63,77
2022,3,8,19.26,76.81
2022,3,9,19.03,87.62
2022,3,10,20.12,87
2022,3,11,20.9,87.38
2022,3,12,21.8,87.94
2022,3,13,22.33,88.5
2022,3,14,22.41,88.31
2022,3,15,23.1,86
2022,3,16,22.51,91
2022,3,17,24.43,88.06
2022,3,18,23.4,91.19
2022,3,19,24.79,86.81
2022,3,20,25.47,85.69
2022,3,21,26.85,84.19
2022,3,22,27.37,83.44
2022,3,23,18.9,85.06
2022,3,24,20.73,88.5
2022,3,25,25.91,84.81
2022,3,26,28.04,78.38
2022,3,27,21.84,75.56
2022,3,28,19.19,81.19
2022,3,29,20.75,86.06
2022,3,30,23.4,86.75
2022,3,31,24.74,84.81
2022,4,1,17.19,81.69
2022,4,2,16.62,73.94
2022,4,3,17.75,66.75
2022,4,4,19.05,71.56
2022,4,5,20.78,73.5
2022,4,6,22.9,71.62
2022,4,7,23.89,68.12
2022,4,8,22.99,69.81
2022,4,9,22.26,75.06
2022,4,10,22.38,82.06
2022,4,11,23.08,86.88
2022,4,12,25.23,84.19
2022,4,13,25.61,84.5
2022,4,14,25.59,83.56
2022,4,15,25.9,87.44
2022,4,16,23.34,89.25
2022,4,17,19.24,87.75
2022,4,18,18.63,85
2022,4,19,19.77,80.12
2022,4,20,21.35,82.19
2022,4,21,23.33,86.06
2022,4,22,25.39,85
2022,4,23,26.77,83.81
2022,4,24,28.22,82.12
2022,4,25,29.32,78.38
2022,4,26,29.65,77.25
2022,4,27,27.89,87.5
2022,4,28,27.12,90.56
2022,4,29,26.33,89.38
2022,4,30,26.46,86.31
2022,5,1,20.77,79.5
2022,5,2,19.95,72.88
2022,5,3,22.38,67.94
2022,5,4,23.03,67.69
2022,5,5,23.4,74.62
2022,5,6,23.67,81.25
2022,5,7,25.49,87.31
2022,5,8,25.86,86.31
2022,5,9,26.16,87.38
2022,5,10,28.09,83.19
2022,5,11,27.84,86.19
2022,5,12,27.84,87.44
2022,5,13,28.18,82.25
2022,5,14,25.31,86.56
2022,5,15,24.33,84.12
2022,5,16,20.69,82.56
2022,5,17,22.9,77.81
2022,5,18,23.76,82.44
2022,5,19,25.87,85.12
2022,5,20,26.16,86.06
2022,5,21,24.76,90.81
2022,5,22,25.24,92.75
2022,5,23,25.72,94.81
2022,5,24,26.3,93.62
2022,5,25,27.12,90
2022,5,26,28.32,86.06
2022,5,27,28.6,85.44
